,Unnamed: 0.1,Unnamed: 0,기업명,기업구분,사원수,설립일(업력),홈페이지,지역,별점,입사율,퇴사율
0,0,1,동아출판(주),"중견기업, 외부감사법인",283 명  (2022년 기준),2008년 10월 1일 (업력 14년) ,www.dongapublishing.com,서울 영등포구,2.5,27.18 % (78 명),25.09 % (72 명)
1,1,2,(주)페이타랩,"중소기업, 스타트업, 주식회사, 병역특례..",52 명  (2022년 기준),2018년 2월 28일 (업력 4년) ,passorder.co.kr,부산 부산진구,4.3,114.71 % (39 명),64.71 % (22 명)
2,46,47,(주)페이타랩,"중소기업, 스타트업, 주식회사, 병역특례..",0,0,passorder.co.kr,부산 부산진구,4.3,114.71 % (39 명),64.71 % (22 명)
3,261,262,(주)페이타랩,"중소기업, 스타트업, 주식회사, 병역특례..",0,0,passorder.co.kr,부산 부산진구,4.3,114.71 % (39 명),64.71 % (22 명)
4,331,332,(주)페이타랩,"중소기업, 스타트업, 주식회사, 병역특례..",0,0,passorder.co.kr,부산 부산진구,4.3,114.71 % (39 명),64.71 % (22 명)
5,359,360,(주)페이타랩,"중소기업, 스타트업, 주식회사, 병역특례..",52 명  (2022년 기준),2018년 2월 28일 (업력 4년) ,passorder.co.kr,부산 부산진구,4.3,114.71 % (39 명),64.71 % (22 명)
6,2,3,고려해운(주),"중견기업, 외부감사법인",739 명  (2022년 기준),1985년 9월 6일 (업력 37년) ,www.kmtc.co.kr,서울 중구,3.3,9.68 % (15 명),11.61 % (18 명)
7,3,4,(주)엠제이플렉스,"중소기업, 스타트업, 외부감사법인, 주식..",930 명  (2022년 기준),2005년 3월 24일 (업력 17년) ,www.mjplex.co.kr,서울 구로구,2.3,89.94 % (876 명),97.84 % (953 명)
8,4,5,에이에스이코리아(주),"외국인 투자기업, 외부감사법인, 수출입 ..",1885 명  (2021년 기준),1967년 3월 7일 (업력 55년) ,www.asekr.com,경기 파주시,2.4,20.18 % (371 명),19.80 % (364 명)
9,5,6,㈜해커스교육그룹,중견기업,921 명  (2018년 기준),2000년 11월 30일 (업력 22년) ,http://www.hackers.com/,-,2.2,,
10,6,7,㈜해커스교육그룹,중견기업,921 명  (2018년 기준),2000년 11월 30일 (업력 22년) ,http://www.hackers.com/,-,2.2,,
11,37,38,㈜해커스교육그룹,중견기업,921 명  (2018년 기준),2000년 11월 30일 (업력 22년) ,http://www.hackers.com/,-,2.2,,
12,7,8,(주)앰진,"중소기업, 주식회사",0,2012년 6월 13일 (업력 10년) ,www.amgine.co.kr,서울 송파구,3.0,40.00 % (8 명),30.00 % (6 명)
13,8,9,(주)도킹블록,"중소기업, 주식회사",11 명  (2022년 기준),2019년 3월 6일 (업력 3년) ,dockingblock.com,서울 강남구,0.0,120.00 % (6 명),100.00 % (5 명)
14,9,10,(주)헥토이노베이션,"코스닥, 중소기업, 주식회사, 병역특례 ..",140 명  (2022년 기준),0,https://www.hectoinnovation.co.kr/,서울 강남구,3.3,120.00 % (6 명),100.00 % (5 명)
15,180,181,(주)헥토이노베이션,"코스닥, 중소기업, 주식회사, 병역특례 ..",140 명  (2022년 기준),0,https://www.hectoinnovation.co.kr/,서울 강남구,3.3,120.00 % (6 명),100.00 % (5 명)
16,10,11,(주)세종분석연구원,"중소기업, 주식회사",0,2016년 6월 13일 (업력 6년) ,세종분석.kr,서울 마포구,3.0,33.33 % (1 명),0.00 % (0 명)
17,11,12,(주)앤씨앤,"코스닥, 외부감사법인, 수출입 기업",117 명  (2022년 기준),1997년 5월 13일 (업력 25년) ,www.nc-and.com,경기 성남시,2.7,44.86 % (48 명),38.32 % (41 명)
18,12,13,(주)엑스큐어넷,"중소기업, 주식회사",67 명  (2020년 기준),1999년 3월 24일 (업력 23년) ,www.xcurenet.com,서울 은평구,2.4,42.86 % (24 명),50.00 % (28 명)
19,13,14,(주)미디움,"중소기업, 외부감사법인, 주식회사",80 명  (2022년 기준),2018년 10월 23일 (업력 4년) ,https://www.themedium.io/,서울 강남구,2.3,164.29 % (115 명),84.29 % (59 명)
20,14,15,(주)씨씨미디어서비스,"중소기업, 주식회사",75 명  (2021년 기준),2010년 10월 7일 (업력 12년) ,www.ccmedia.co.kr,서울 구로구,2.1,89.19 % (66 명),62.16 % (46 명)
