,기업명,기업구분,기업구분코드,사원수,업력,입사율(%),퇴사율(%),이직율(%),별점,추천
0,(주)페이타랩,중소기업,3.0,52,4.0,114.71,64.71,56.41,4.3,1.0
1,(주)엠제이플렉스,중소기업,3.0,930,17.0,89.94,97.84,108.78,2.3,0.0
2,(주)앰진,중소기업,3.0,20,10.0,40.0,30.0,75.0,3.0,1.0
4,(주)헥토이노베이션,중소기업,3.0,140,0.0,120.0,100.0,83.33,3.3,1.0
5,(주)세종분석연구원,중소기업,3.0,3,6.0,33.33,0.0,0.0,3.0,1.0
6,(주)엑스큐어넷,중소기업,3.0,67,23.0,42.86,50.0,116.66,2.4,0.0
7,(주)미디움,중소기업,3.0,80,4.0,164.29,84.29,51.31,2.3,0.0
8,(주)씨씨미디어서비스,중소기업,3.0,75,12.0,89.19,62.16,69.69,2.1,0.0
9,(주)한국컨텐츠인프라,중소기업,3.0,27,10.0,11.11,3.7,33.3,4.5,1.0
10,(주)한국빌링시스템,중소기업,3.0,39,22.0,12.5,25.0,200.0,3.3,1.0
11,(주)이타즈,중소기업,3.0,17,4.0,12.5,25.0,200.0,3.3,1.0
12,(주)더블다운인터액티브,중소기업,3.0,173,0.0,46.53,27.78,59.7,2.8,1.0
13,(주)데이터디자인엔지니어링,중소기업,3.0,17,8.0,29.41,29.41,100.0,4.1,1.0
14,(주)이지서티,중소기업,3.0,82,0.0,91.0,70.0,76.92,2.5,0.0
15,인터리젠(주),중소기업,3.0,40,16.0,28.21,15.38,54.52,3.6,1.0
16,(주)딥노이드,중소기업,3.0,115,14.0,82.88,82.88,100.0,2.2,0.0
17,네오뉴트라(주),중소기업,3.0,68,0.0,35.59,33.9,95.25,3.2,1.0
18,(주)지앤티솔루션,중소기업,3.0,42,0.0,20.0,35.56,177.8,2.6,0.0
19,에이디엠코리아(주),중소기업,3.0,177,0.0,91.23,35.09,38.46,2.4,0.0
20,(주)바이오인프라생명과학,중소기업,3.0,29,0.0,29.03,38.71,133.34,3.0,1.0
21,(주)에이치앤컨설팅,중소기업,3.0,20,0.0,146.0,93.0,63.7,1.7,0.0
22,(주)와이오엘오,중소기업,3.0,33,0.0,67.74,64.52,95.25,4.6,1.0
23,(주)세마그룹,중소기업,3.0,30,0.0,85.0,53.0,62.35,2.8,1.0
24,㈜데이타메이션,중소기업,3.0,21,0.0,44.0,39.0,88.64,1.7,0.0
25,(주)아이디어키,중소기업,3.0,93,17.0,58.18,52.73,90.63,3.2,1.0
26,(주)슈가힐,중소기업,3.0,82,6.0,128.3,132.08,102.95,2.5,0.0
27,(주)플렉싱크,중소기업,3.0,20,12.0,128.3,132.08,102.95,1.8,0.0
28,(주)지이씨엘코리아,중소기업,3.0,28,5.0,56.76,40.54,71.42,3.3,1.0
29,(주)디알텍,중소기업,3.0,278,7.0,50.0,40.5,81.0,2.7,1.0
30,(주)엔젤로보틱스,중소기업,3.0,62,5.0,78.0,62.0,79.49,2.8,1.0
31,넛지헬스케어(주),중소기업,3.0,104,6.0,136.36,93.18,68.33,2.6,0.0
32,(주)엠에스링크앤솔루션,중소기업,3.0,36,0.0,166.67,40.0,24.0,2.3,0.0
33,(주)캐시카우,중소기업,3.0,15,8.0,66.67,44.44,66.66,1.9,0.0
34,(주)모비젠,중소기업,3.0,229,0.0,24.89,19.91,79.99,3.2,1.0
35,(주)에이아이스페라,중소기업,3.0,44,0.0,86.84,55.26,63.63,3.3,1.0
36,(주)핀샷,중소기업,3.0,16,6.0,30.0,55.0,183.33,3.3,1.0
37,(주)스위트케이,중소기업,3.0,42,9.0,88.52,80.33,90.75,2.9,1.0
38,(주)아울시스템즈,중소기업,3.0,28,0.0,69.57,56.52,81.24,3.2,1.0
39,(주)스탁키퍼,중소기업,3.0,18,0.0,400.0,250.0,62.5,4.5,1.0
40,(주)넷케이티아이,중소기업,3.0,235,0.0,48.1,35.71,74.24,3.3,1.0
41,(주)트리플렛,중소기업,3.0,16,0.0,97.0,72.0,74.23,2.6,0.0
43,(주)아이엔지스토리,중소기업,3.0,78,9.0,43.42,65.79,151.52,2.8,1.0
44,(주)다하미커뮤니케이션즈,중소기업,3.0,54,24.0,216.67,83.33,38.46,2.4,0.0
45,(주)무하유,중소기업,3.0,63,0.0,43.0,24.0,55.81,3.4,1.0
47,(주)써로마인드,중소기업,3.0,32,7.0,176.19,57.14,32.43,2.5,0.0
48,(주)리얼시큐,중소기업,3.0,26,0.0,27.59,44.83,162.49,3.0,1.0
50,(주)알고리고,중소기업,3.0,12,0.0,15.38,15.38,100.0,4.3,1.0
51,디딤365(주),중소기업,3.0,134,0.0,81.72,40.86,50.0,3.2,1.0
52,(주)알파도,중소기업,3.0,11,4.0,115.38,161.54,140.01,3.5,1.0
53,(주)타이드스퀘어,중소기업,3.0,297,13.0,104.22,70.04,67.2,2.6,0.0
55,(주)넷앤드,중소기업,3.0,145,15.0,46.81,29.08,62.12,2.9,1.0
56,(주)이노그리드,중소기업,3.0,133,16.0,98.06,65.05,66.34,2.4,0.0
57,콴텍(주),중소기업,3.0,24,13.0,122.22,94.44,77.27,2.9,1.0
58,(주)스노우피크코리아,중소기업,3.0,33,15.0,33.0,33.0,100.0,2.6,0.0
59,(주)챔프스터디,중소기업,3.0,635,15.0,50.76,61.01,120.19,1.8,0.0
60,(주)오픈소스컨설팅,중소기업,3.0,66,10.0,51.56,32.81,63.63,2.5,0.0
61,(주)올림커뮤니케이션즈,중소기업,3.0,17,13.0,366.67,251.85,68.69,3.6,1.0
62,(주)에이스프로젝트,중소기업,3.0,56,11.0,41.46,31.71,76.48,4.1,1.0
64,(주)벨아이앤에스,중소기업,3.0,71,14.0,28.79,30.3,105.24,3.4,1.0
65,(주)리파인,중소기업,3.0,215,20.0,26.89,29.25,108.78,2.4,0.0
66,(주)와치텍,중소기업,3.0,110,23.0,19.09,20.0,104.77,3.0,1.0
67,(주)이노메트리,중소기업,3.0,143,14.0,123.91,68.48,55.27,1.0,0.0
68,(주)미스터픽,중소기업,3.0,26,0.0,31.43,40.0,127.27,3.3,1.0
70,(주)이앤에프어드바이저,중소기업,3.0,13,5.0,77.78,33.33,42.85,4.3,1.0
71,(주)포비즈코리아,중소기업,3.0,83,12.0,38.1,38.1,100.0,2.3,0.0
72,(주)셀티움,중소기업,3.0,7,2.0,316.67,316.67,100.0,2.5,0.0
73,(주)슈퍼브에이아이,중소기업,3.0,99,4.0,231.25,95.83,41.44,4.0,1.0
74,(주)미창,중소기업,3.0,14,16.0,30.26,26.32,86.98,2.3,0.0
75,(주)직방,중소기업,3.0,317,12.0,89.86,31.12,34.63,3.1,1.0
76,(주)레인보우8,중소기업,3.0,35,9.0,32.0,23.0,71.88,3.3,1.0
77,크레파스솔루션(주),중소기업,3.0,20,0.0,69.57,52.17,74.99,1.8,0.0
78,오토시맨틱스(주),중소기업,3.0,14,6.0,38.1,71.43,187.48,2.1,0.0
79,(주)페니로이스,중소기업,3.0,23,14.0,30.77,42.31,137.5,3.0,1.0
80,(주)핀인사이트,중소기업,3.0,11,7.0,31.25,50.0,160.0,5.0,1.0
81,(주)아이투맥스,중소기업,3.0,163,20.0,41.33,30.67,74.21,2.9,1.0
82,(주)심네트,중소기업,3.0,222,23.0,28.86,22.82,79.07,2.1,0.0
83,(주)퀀팃,중소기업,3.0,45,4.0,109.68,61.29,55.88,4.7,1.0
84,세종경영자문(주),중소기업,3.0,19,14.0,166.67,140.0,84.0,1.7,0.0
85,(주)이지스,중소기업,3.0,66,21.0,24.62,32.31,131.23,2.9,1.0
87,(주)아이유노글로벌,중소기업,3.0,224,18.0,54.82,39.09,71.31,2.2,0.0
88,아우토크립트(주),중소기업,3.0,224,4.0,141.6,44.0,31.07,3.4,1.0
89,솔트웨어(주),중소기업,3.0,95,4.0,32.1,129.63,403.83,2.4,0.0
90,코리아스펙트랄프로덕츠(주),중소기업,3.0,25,19.0,11.54,15.38,133.28,2.7,1.0
91,(주)무신사,중소기업,3.0,943,10.0,137.96,39.2,28.41,2.7,1.0
92,(주)위즈코리아,중소기업,3.0,63,20.0,34.38,39.06,113.61,1.9,0.0
93,(주)더베스트페이,중소기업,3.0,24,20.0,15.38,11.54,75.03,2.6,0.0
94,케이아이티밸리(주),중소기업,3.0,80,25.0,27.85,25.32,90.92,3.0,1.0
95,(주)버블콘,중소기업,3.0,20,4.0,82.35,52.94,64.29,2.0,0.0
96,에스케이시그넷(주),중소기업,3.0,178,6.0,101.18,22.49,22.23,2.4,0.0
97,(주)바인테크,중소기업,3.0,40,21.0,35.71,47.62,133.35,2.6,0.0
98,(주)엔켐,중소기업,3.0,261,10.0,90.32,58.53,64.8,2.5,0.0
99,(주)에이티솔루션,중소기업,3.0,20,5.0,7.14,28.57,400.14,4.0,1.0
101,㈜더아이엠씨,중소기업,3.0,61,19.0,60.0,40.0,66.67,2.2,0.0
102,아이티사이언스(주),중소기업,3.0,162,20.0,33.12,16.56,50.0,2.5,0.0
103,시큐웍스(대전),중소기업,3.0,21,4.0,62.5,79.17,126.67,1.0,0.0
104,(주)데이터에듀,중소기업,3.0,32,3.0,183.87,151.61,82.45,1.8,0.0
105,(주)제이에스티앤랩,중소기업,3.0,18,14.0,35.0,60.0,171.43,2.7,1.0
106,(주)클로버스튜디오,중소기업,3.0,15,3.0,145.45,118.18,81.25,2.0,0.0
107,(주)시스콘,중소기업,3.0,120,9.0,91.78,26.03,28.36,2.9,1.0
108,(주)메디칼파크,중소기업,3.0,77,14.0,39.13,15.94,40.74,2.9,1.0
109,(주)다누시스,중소기업,3.0,61,20.0,64.71,49.02,75.75,2.9,1.0
110,쿤텍(주),중소기업,3.0,39,6.0,103.33,60.0,58.07,3.4,1.0
111,(주)데이터메이커,중소기업,3.0,60,4.0,70.97,85.48,120.45,3.9,1.0
112,비앤에프테크놀로지(주),중소기업,3.0,77,22.0,43.64,36.36,83.32,3.2,1.0
113,(주)두잇시스템,중소기업,3.0,223,18.0,22.48,19.27,85.72,2.5,0.0
114,주식회사 미코,중소기업,3.0,2,7.0,37.5,19.17,51.12,2.8,1.0
115,(주)두플,중소기업,3.0,32,8.0,36.67,23.33,63.62,2.6,0.0
116,(주)얼라인드제네틱스,중소기업,3.0,52,14.0,40.0,22.22,55.55,3.3,1.0
117,(주)동서가구,중소기업,3.0,85,9.0,72.58,77.42,106.67,2.0,0.0
118,(주)제이숲,중소기업,3.0,52,7.0,74.07,59.26,80.01,3.4,1.0
119,(주)투버미디어,중소기업,3.0,12,18.0,12.5,12.5,100.0,2.0,0.0
120,주식회사 명품입찰,중소기업,3.0,50,7.0,81.4,79.07,97.14,2.7,1.0
121,스포츠투아이(주),중소기업,3.0,66,23.0,41.67,35.0,83.99,2.7,1.0
122,(주)아이비젼웍스,중소기업,3.0,70,7.0,108.47,42.37,39.06,4.4,1.0
123,에프원소프트(주),중소기업,3.0,26,13.0,35.14,37.84,107.68,2.5,0.0
124,(주)에스티에이테스팅컨설팅,중소기업,3.0,185,19.0,32.71,45.79,139.99,2.5,0.0
125,(주)플랜아이,중소기업,3.0,116,18.0,30.36,28.57,94.1,3.0,1.0
126,(주)발렌타인드림,중소기업,3.0,45,4.0,175.86,127.59,72.55,2.7,1.0
127,(주)더컴퍼니,중소기업,3.0,3,6.0,28.57,42.86,150.02,2.5,0.0
128,(주)이루온아이앤에스,중소기업,3.0,60,21.0,43.1,44.83,104.01,3.3,1.0
129,(주)인실리코젠,중소기업,3.0,60,17.0,42.86,20.41,47.62,2.7,1.0
130,(주)아인스텍,중소기업,3.0,12,20.0,54.0,58.0,107.41,2.5,0.0
131,동아출판(주),중견기업,2.0,283,14.0,27.18,25.09,92.31,2.5,0.0
132,고려해운(주),중견기업,2.0,739,37.0,9.68,11.61,119.94,3.3,1.0
133,(주)엔에이치엔다이퀘스트,중견기업,2.0,197,22.0,55.49,26.01,46.87,2.9,1.0
134,㈜칸테크,중견기업,2.0,45,28.0,27.0,13.0,48.15,2.7,1.0
135,(주)트랜스코스모스코리아,중견기업,2.0,9658,21.0,106.63,99.05,92.89,2.6,0.0
136,(주)모나미,중견기업,2.0,200,55.0,44.69,30.17,67.51,2.0,0.0
137,(주)더블유게임즈,중견기업,2.0,321,10.0,43.59,27.84,63.87,3.3,1.0
138,(주)NE능률,중견기업,2.0,320,28.0,16.0,19.0,118.75,2.9,1.0
139,키스자산평가(주),중견기업,2.0,141,22.0,37.24,35.86,96.29,2.7,1.0
141,메가존클라우드(주),중견기업,2.0,900,4.0,108.89,32.89,30.2,2.7,1.0
142,메가존소프트(주),중견기업,2.0,106,1.0,63.22,35.63,56.36,3.8,1.0
143,메가존(주),중견기업,2.0,524,21.0,57.89,40.41,69.8,2.7,1.0
144,(주)퍼시스,중견기업,2.0,219,39.0,26.82,20.0,74.57,3.0,1.0
145,(주)시몬스,중견기업,2.0,643,30.0,37.97,39.53,104.11,2.3,0.0
146,메가스터디교육(주),중견기업,2.0,1431,7.0,79.03,64.34,81.41,2.5,0.0
147,(주)에이아이매틱스,중견기업,2.0,78,19.0,70.0,62.5,89.29,2.1,0.0
148,한영회계법인,중견기업,2.0,1274,40.0,52.72,39.83,75.55,3.1,1.0
149,현대엘엔지해운(주),중견기업,2.0,341,8.0,53.27,44.12,82.82,3.3,1.0
150,한국자산평가(주),중견기업,2.0,220,22.0,46.05,37.21,80.8,3.2,1.0
151,웰컴저축은행(주),중견기업,2.0,755,9.0,29.74,29.48,99.13,2.4,0.0
152,(주)파츠몰,중견기업,2.0,32,24.0,14.71,23.53,159.96,2.5,0.0
153,(주)유라,중견기업,2.0,490,9.0,23.0,19.62,85.3,2.2,0.0
154,(주)스마일게이트엔터테인먼트,중견기업,2.0,791,20.0,25.77,17.6,68.3,3.3,1.0
155,SK텔레콤(주),대기업,1.0,5376,38.0,11.71,12.31,105.12,4.0,1.0
156,동국시스템즈(주),대기업,1.0,333,25.0,24.53,19.57,79.78,2.9,1.0
157,AJ네트웍스(주),대기업,1.0,533,22.0,31.36,19.49,62.15,2.5,0.0
158,(주)오토피온,대기업,1.0,53,9.0,25.0,50.0,200.0,2.2,0.0
159,㈜네오플,대기업,1.0,1140,21.0,26.0,10.0,38.46,3.7,1.0
160,유빈스(주),대기업,1.0,553,17.0,19.4,20.15,103.87,2.5,0.0
161,(주) LG CNS,대기업,1.0,6603,35.0,14.3,10.83,75.73,3.1,1.0
163,(주)에브리플레이,대기업,1.0,54,6.0,31.48,20.37,64.71,3.4,1.0
164,디에스엠이정보시스템(주),대기업,1.0,217,6.0,15.98,26.94,168.59,3.0,1.0
165,네이버제트(주),대기업,1.0,252,2.0,90.38,42.26,46.76,4.2,1.0
166,캐논코리아 주식회사,대기업,1.0,1169,37.0,24.69,30.49,123.49,2.7,1.0
167,에이에스이코리아(주),기타,4.0,1885,55.0,20.18,19.8,98.12,2.4,0.0
168,(주)앤씨앤,기타,4.0,117,25.0,44.86,38.32,85.42,2.7,1.0
169,이루온,기타,4.0,83,24.0,11.9,13.1,110.08,2.5,0.0
170,한국메티슨특수가스(주),기타,4.0,197,27.0,40.8,20.69,50.71,2.8,1.0
171,(주)플랜티넷,기타,4.0,78,22.0,30.77,32.05,104.16,2.5,0.0
172,(주)한컴라이프케어,기타,4.0,237,26.0,12.35,21.81,176.6,1.9,0.0
173,(주)엔텔스,기타,4.0,222,22.0,18.94,23.79,125.61,2.8,1.0
174,지오시스(유),기타,4.0,242,12.0,22.08,30.83,139.63,2.2,0.0
