,기업명,기업구분2,기업구분,사원수2,사원수,설립일(업력),홈페이지,지역,별점,입사율,퇴사율
1,(주)페이타랩,중소기업,"중소기업, 스타트업, 주식회사, 병역특례..",52,52 명  (2022년 기준),2018년 2월 28일 (업력 4년) ,passorder.co.kr,부산 부산진구,4.3,114.71 % (39 명),64.71 % (22 명)
3,(주)엠제이플렉스,중소기업,"중소기업, 스타트업, 외부감사법인, 주식..",930,930 명  (2022년 기준),2005년 3월 24일 (업력 17년) ,www.mjplex.co.kr,서울 구로구,2.3,89.94 % (876 명),97.84 % (953 명)
5,(주)앰진,중소기업,"중소기업, 주식회사",0,0,2012년 6월 13일 (업력 10년) ,www.amgine.co.kr,서울 송파구,3.0,40.00 % (8 명),30.00 % (6 명)
6,(주)도킹블록,중소기업,"중소기업, 주식회사",11,11 명  (2022년 기준),2019년 3월 6일 (업력 3년) ,dockingblock.com,서울 강남구,0.0,120.00 % (6 명),100.00 % (5 명)
7,(주)헥토이노베이션,중소기업,"코스닥, 중소기업, 주식회사, 병역특례 ..",140,140 명  (2022년 기준),0,https://www.hectoinnovation.co.kr/,서울 강남구,3.3,120.00 % (6 명),100.00 % (5 명)
8,(주)세종분석연구원,중소기업,"중소기업, 주식회사",0,0,2016년 6월 13일 (업력 6년) ,세종분석.kr,서울 마포구,3.0,33.33 % (1 명),0.00 % (0 명)
10,(주)엑스큐어넷,중소기업,"중소기업, 주식회사",67,67 명  (2020년 기준),1999년 3월 24일 (업력 23년) ,www.xcurenet.com,서울 은평구,2.4,42.86 % (24 명),50.00 % (28 명)
11,(주)미디움,중소기업,"중소기업, 외부감사법인, 주식회사",80,80 명  (2022년 기준),2018년 10월 23일 (업력 4년) ,https://www.themedium.io/,서울 강남구,2.3,164.29 % (115 명),84.29 % (59 명)
12,(주)씨씨미디어서비스,중소기업,"중소기업, 주식회사",75,75 명  (2021년 기준),2010년 10월 7일 (업력 12년) ,www.ccmedia.co.kr,서울 구로구,2.1,89.19 % (66 명),62.16 % (46 명)
13,(주)한국컨텐츠인프라,중소기업,"중소기업, 주식회사, 수출입 기업",27,27 명  (2022년 기준),2012년 2월 16일 (업력 10년) ,www.globalhost.co.kr,경기 안양시,4.5,11.11 % (3 명),3.70 % (1 명)
16,(주)한국빌링시스템,중소기업,"중소기업, 외부감사법인, 주식회사",39,39 명  (2020년 기준),2000년 4월 12일 (업력 22년) ,www.korbill.com,서울 성동구,3.3,12.50 % (4 명),25.00 % (8 명)
18,(주)이타즈,중소기업,중소기업,0,0,2018년 2월 26일 (업력 4년) ,,부산 해운대구,3.3,12.50 % (4 명),25.00 % (8 명)
19,(주)더블다운인터액티브,중소기업,"중소기업, 주식회사",0,0,0,https://www.doubledowninteractive.co.kr/kor/main/main.html,서울 강남구,2.8,46.53 % (67 명),27.78 % (40 명)
20,(주)데이터디자인엔지니어링,중소기업,"중소기업, 외국인 투자기업, 주식회사",17,17 명  (2021년 기준),2014년 10월 31일 (업력 8년) ,datadesign.engineering/,서울 구로구,4.1,29.41 % (5 명),29.41 % (5 명)
23,(주)이지서티,중소기업,"중소기업, 외부감사법인, 주식회사",0,0,0,www.easycerti.com,서울 강남구,2.5,91 % (70 명),70 % (54 명)
24,인터리젠(주),중소기업,중소기업,40,40 명  (2021년 기준),2006년 12월 12일 (업력 16년) ,www.interezen.co.kr,서울 강남구,3.6,28.21 % (11 명),15.38 % (6 명)
26,(주)딥노이드,중소기업,"코스닥, 중소기업, 주식회사, 외부감사법..",115,115 명  (2022년 기준),2008년 2월 15일 (업력 14년) ,http://www.deepnoid.com,서울 구로구,2.2,82.88 % (92 명),82.88 % (92 명)
28,네오뉴트라(주),중소기업,중소기업,0,0,0,www.neonutra.com,서울 종로구,3.2,35.59 % (21 명),33.90 % (20 명)
30,(주)지앤티솔루션,중소기업,"중소기업, 스타트업, 연구소, 주식회사, ..",0,0,0,www.gntsolution.com,서울 중구,2.6,20.00 % (9 명),35.56 % (16 명)
31,에이디엠코리아(주),중소기업,"코스닥, 중소기업, 주식회사, 병역특례 ..",0,0,0,http://www.admkorea.co.kr/,서울 종로구,2.4,91.23 % (104 명),35.09 % (40 명)
32,(주)바이오인프라생명과학,중소기업,"코넥스, 중소기업, 주식회사",29,29 명  (2021년 기준),0,www.bioinfra.co.kr,서울 종로구,3.0,29.03 % (9 명),38.71 % (12 명)
33,(주)에이치앤컨설팅,중소기업,중소기업,0,0,0,www.hnconsulting.co.kr,서울 서초구,1.7,146 % (25 명),93 % (16 명)
34,(주)와이오엘오,중소기업,"중소기업, 스타트업",0,0,0,yolocorp.kr,서울 마포구,4.6,67.74 % (21 명),64.52 % (20 명)
35,(주)세마그룹,중소기업,"중소기업, 주식회사",0,0,0,semaconsulting.co.kr,-,2.8,85 % (21 명),53 % (13 명)
36,㈜데이타메이션,중소기업,"중소기업, 주식회사",0,0,0,www.datamation.co.kr,서울 구로구,1.7,44 % (9 명),39 % (8 명)
38,(주)아이디어키,중소기업,"중소기업, 주식회사",93,93 명  (2021년 기준),2005년 4월 6일 (업력 17년) ,www.ideakey.co.kr,서울 강남구,3.2,58.18 % (32 명),52.73 % (29 명)
