,Unnamed: 0,기업명,기업구분,사원수,설립일(업력),홈페이지,지역
0,1,동아출판(주),"중견기업, 외부감사법인",283 명  (2022년 기준),2008년 10월 1일 (업력 14년) ,www.dongapublishing.com,서울 영등포구
1,2,(주)페이타랩,"중소기업, 스타트업, 주식회사, 병역특례..",52 명  (2022년 기준),2018년 2월 28일 (업력 4년) ,passorder.co.kr,부산 부산진구
2,3,고려해운(주),"중견기업, 외부감사법인",739 명  (2022년 기준),1985년 9월 6일 (업력 37년) ,www.kmtc.co.kr,서울 중구
3,4,(주)엠제이플렉스,"중소기업, 스타트업, 외부감사법인, 주식..",930 명  (2022년 기준),2005년 3월 24일 (업력 17년) ,www.mjplex.co.kr,서울 구로구
4,5,에이에스이코리아(주),"외국인 투자기업, 외부감사법인, 수출입 ..",1885 명  (2021년 기준),1967년 3월 7일 (업력 55년) ,www.asekr.com,경기 파주시
5,6,㈜해커스교육그룹,중견기업,921 명  (2018년 기준),2000년 11월 30일 (업력 22년) ,http://www.hackers.com/,-
6,7,㈜해커스교육그룹,중견기업,921 명  (2018년 기준),2000년 11월 30일 (업력 22년) ,http://www.hackers.com/,-
7,8,(주)앰진,"중소기업, 주식회사",0,2012년 6월 13일 (업력 10년) ,www.amgine.co.kr,서울 송파구
8,9,(주)도킹블록,"중소기업, 주식회사",11 명  (2022년 기준),2019년 3월 6일 (업력 3년) ,dockingblock.com,서울 강남구
9,10,(주)헥토이노베이션,"코스닥, 중소기업, 주식회사, 병역특례 ..",140 명  (2022년 기준),0,https://www.hectoinnovation.co.kr/,서울 강남구
10,11,(주)세종분석연구원,"중소기업, 주식회사",0,2016년 6월 13일 (업력 6년) ,세종분석.kr,서울 마포구
11,12,(주)앤씨앤,"코스닥, 외부감사법인, 수출입 기업",117 명  (2022년 기준),1997년 5월 13일 (업력 25년) ,www.nc-and.com,경기 성남시
12,13,(주)엑스큐어넷,"중소기업, 주식회사",67 명  (2020년 기준),1999년 3월 24일 (업력 23년) ,www.xcurenet.com,서울 은평구
13,14,(주)미디움,"중소기업, 외부감사법인, 주식회사",80 명  (2022년 기준),2018년 10월 23일 (업력 4년) ,https://www.themedium.io/,서울 강남구
14,15,(주)씨씨미디어서비스,"중소기업, 주식회사",75 명  (2021년 기준),2010년 10월 7일 (업력 12년) ,www.ccmedia.co.kr,서울 구로구
15,16,(주)한국컨텐츠인프라,"중소기업, 주식회사, 수출입 기업",27 명  (2022년 기준),2012년 2월 16일 (업력 10년) ,www.globalhost.co.kr,경기 안양시
16,17,(주)온택트헬스,"중소기업, 주식회사",0,2020년 11월 5일 (업력 2년) ,,부산 중구
17,18,(주)컨셉터스,"중소기업, 주식회사",0,0,www.concepters.co.kr,-
