기업명,별점,입사율,퇴사율
동아출판(주),2.5,27.18 % (78 명),25.09 % (72 명)
고려해운(주),3.3,9.68 % (15 명),11.61 % (18 명)
(주)페이타랩,4.3,114.71 % (39 명),64.71 % (22 명)
(주)앰진,3,40.00 % (8 명),30.00 % (6 명)
에이에스이코리아(주),2.4,20.18 % (371 명),19.80 % (364 명)
(주)엠제이플렉스,2.3,89.94 % (876 명),97.84 % (953 명)
㈜해커스교육그룹,2.2,,
(주)도킹블록,0,120.00 % (6 명),100.00 % (5 명)
(주)헥토이노베이션,3.3,120.00 % (6 명),100.00 % (5 명)
(주)세종분석연구원,3,33.33 % (1 명),0.00 % (0 명)
(주)앤씨앤,2.7,44.86 % (48 명),38.32 % (41 명)
(주)엑스큐어넷,2.4,42.86 % (24 명),50.00 % (28 명)
(주)미디움,2.3,164.29 % (115 명),84.29 % (59 명)
동국시스템즈(주),2.9,24.53 % (79 명),19.57 % (63 명)
(주)엔에이치엔다이퀘스트,2.9,55.49 % (96 명),26.01 % (45 명)
(주)데이터디자인엔지니어링,4.1,29.41 % (5 명),29.41 % (5 명)
(주)씨씨미디어서비스,2.1,89.19 % (66 명),62.16 % (46 명)
(주)한국컨텐츠인프라,4.5,11.11 % (3 명),3.70 % (1 명)
(주)온택트헬스,,100.00 % (28 명),35.71 % (10 명)
(주)컨셉터스,3.3,,
SK텔레콤(주),4,11.71 % (626 명),12.31 % (658 명)
(주)한국빌링시스템,3.3,12.50 % (4 명),25.00 % (8 명)
(주)이타즈,3.3,12.50 % (4 명),25.00 % (8 명)
(주)더블다운인터액티브,2.8,46.53 % (67 명),27.78 % (40 명)
망고클라우드(주),,,
㈜칸테크,2.7,,
이루온,2.5,11.90 % (10 명),13.10 % (11 명)
(주)이지서티,2.5,,
(주)한국아이티전문학원,,20.00 % (1 명),20.00 % (1 명)
주식회사 이지서티,,,
인터리젠(주),3.6,28.21 % (11 명),15.38 % (6 명)
네오뉴트라(주),3.2,35.59 % (21 명),33.90 % (20 명)
한국메티슨특수가스(주),2.8,40.80 % (71 명),20.69 % (36 명)
에이디엠코리아(주),2.4,91.23 % (104 명),35.09 % (40 명)
(주)바이오인프라생명과학,3,29.03 % (9 명),38.71 % (12 명)
(주)에이치앤컨설팅,1.7,,
(주)지니,,,
(주)세마그룹,2.8,,
㈜데이타메이션,1.7,,
틱톡,2.8,,
(주)슈가힐,2.5,128.30 % (68 명),132.08 % (70 명)
(주)플렉싱크,1.8,128.30 % (68 명),132.08 % (70 명)
(주)딥노이드,2.2,82.88 % (92 명),82.88 % (92 명)
(주)모나미,2,44.69 % (80 명),30.17 % (54 명)
(주)트랜스코스모스코리아,2.6,106.63 % (9455 명),99.05 % (8783 명)
(주)지앤티솔루션,2.6,20.00 % (9 명),35.56 % (16 명)
와이엠플러스,5,,
(주)와이오엘오,4.6,67.74 % (21 명),64.52 % (20 명)
리뷰플레이스,3.2,,
(주)더블유게임즈,3.3,43.59 % (119 명),27.84 % (76 명)
(주)아이디어키,3.2,58.18 % (32 명),52.73 % (29 명)
(주)모비젠,3.2,24.89 % (55 명),19.91 % (44 명)
